1	684.41	449.72	866.94	491.45	0.00	-nan	inf	8574.56	261.80	199.86	921.96	148.02
2	1337.54	774.71	1292.35	508.66	0.00	-nan	inf	7547.22	1471.12	778.30	7832.65	388.66
3	1229.22	750.37	1189.34	461.14	0.00	-nan	inf	10847.11	1392.37	689.62	9416.05	398.01
4	1086.45	677.70	985.10	489.45	0.00	-nan	inf	7216.45	787.28	574.68	4290.33	314.23
5	1165.30	706.66	1075.44	424.89	0.00	-nan	inf	8568.18	878.56	614.93	5231.72	338.31
6	1115.45	685.95	927.93	447.39	0.00	-nan	inf	5900.80	828.96	580.05	6573.24	311.46
7	1090.51	680.07	867.41	433.99	0.00	-nan	inf	4917.67	973.85	638.63	7480.18	319.87
8	1213.80	733.61	995.18	474.56	0.00	-nan	inf	5825.74	1462.48	720.73	11460.29	361.75
9	1100.12	688.45	903.43	443.76	0.00	-nan	inf	5395.24	948.10	609.68	6668.15	330.04
10	1041.55	672.11	766.44	424.09	0.00	-nan	inf	3825.52	910.26	603.84	7558.04	296.40
11	1082.68	685.99	789.00	444.28	0.00	-nan	inf	4025.25	1065.78	668.20	9344.13	333.30
12	1203.16	730.94	922.20	436.70	0.00	-nan	inf	5254.99	2368.65	850.39	32107.05	412.52
13	1125.79	701.88	829.08	405.83	0.00	-nan	inf	4262.55	1354.64	675.13	13106.80	343.78
14	1091.44	696.08	829.74	477.25	0.00	-nan	inf	4648.59	1324.45	676.73	11581.83	343.17
15	1119.45	705.74	796.61	423.72	0.00	-nan	inf	4147.74	1866.36	741.29	18888.54	361.60
16	1163.81	733.82	828.96	449.83	0.00	-nan	inf	4296.39	3462.69	861.49	73705.41	403.95
17	1135.15	721.29	838.53	385.05	0.00	-nan	inf	4848.87	2404.97	781.13	35457.43	386.56
18	1103.62	703.67	753.87	461.13	0.00	-nan	inf	4075.60	2782.84	769.03	51736.15	363.80
19	1161.28	730.52	875.54	443.71	0.00	-nan	inf	4794.62	2569.05	770.51	33429.30	386.94
20	1011.33	655.34	702.94	412.43	0.00	-nan	inf	3746.95	1054.53	580.00	8771.99	292.45
21	1083.46	697.29	734.81	432.65	0.00	-nan	inf	3892.04	2354.47	747.18	35520.79	358.29
22	1167.69	713.40	818.78	432.23	0.00	-nan	inf	4179.91	2427.46	762.87	21036.10	372.69
23	1101.80	713.97	784.35	385.23	0.00	-nan	inf	3974.10	2958.10	775.92	54821.87	368.42
24	1145.13	727.01	825.55	457.10	0.00	-nan	inf	4856.54	2825.15	769.05	32797.79	376.07
25	1057.74	665.19	704.70	435.00	0.00	-nan	inf	3779.13	1184.89	636.84	9921.15	312.92
26	1039.04	678.26	695.59	461.70	0.00	-nan	inf	3600.15	1602.51	688.21	18450.61	318.45
27	1049.78	678.02	761.85	404.03	0.00	-nan	inf	4167.17	1496.54	651.18	14070.71	324.66
28	1035.61	668.14	714.51	474.04	0.00	-nan	inf	3727.87	1758.43	720.08	19547.30	346.02
29	1077.31	693.32	736.47	397.34	0.00	-nan	inf	4526.94	2399.41	738.04	29554.57	354.08
30	1068.97	693.06	674.15	391.87	0.00	-nan	inf	3556.39	2570.66	777.38	30863.35	346.40
31	1012.82	643.84	656.20	410.28	0.00	-nan	inf	3246.01	1116.11	629.14	11202.84	303.04
32	1000.10	652.38	639.62	398.18	0.00	-nan	inf	3648.38	1239.19	615.99	13046.29	288.98
33	1051.02	672.30	655.86	413.27	0.00	-nan	inf	3540.68	2461.25	757.18	50804.33	339.57
34	980.63	645.46	617.55	443.44	0.00	-nan	inf	3244.72	1384.60	604.77	18290.34	293.96
35	1057.85	678.16	667.97	404.13	0.00	-nan	inf	3676.67	2890.05	747.60	41915.50	340.15
36	1037.47	675.85	638.39	396.03	0.00	-nan	inf	3293.99	2470.60	735.58	39557.75	328.62
37	1011.95	673.30	659.07	425.15	0.00	-nan	inf	3848.78	2193.56	707.14	34029.95	330.34
38	1014.03	657.28	649.40	447.56	0.00	-nan	inf	3402.64	1293.60	626.27	13723.44	303.84
39	1021.55	663.94	621.31	428.41	0.00	-nan	inf	3164.19	1867.38	725.70	32791.46	325.95
40	1013.93	654.83	634.17	420.33	0.00	-nan	inf	3370.68	1603.23	632.80	14193.37	306.51
41	1047.86	677.92	670.08	495.55	0.00	-nan	inf	3382.08	2145.17	731.90	21507.50	333.90
42	1014.83	664.71	586.64	401.68	0.00	-nan	inf	2941.31	1544.42	684.47	22957.99	305.95
43	1042.86	677.33	608.52	379.49	0.00	-nan	inf	3162.00	4142.38	842.27	150290.73	343.76
44	1002.25	657.12	629.95	430.24	0.00	-nan	inf	3537.34	1737.22	626.54	20936.05	304.09
45	1043.64	672.84	626.62	410.67	0.00	-nan	inf	3094.21	1961.24	729.46	23249.28	324.22
46	955.18	637.16	594.98	390.88	0.00	-nan	inf	3186.32	1225.86	598.91	15788.65	282.18
47	993.27	643.65	596.37	416.52	0.00	-nan	inf	2958.24	1438.70	632.78	20968.84	294.05
48	992.40	667.54	601.57	421.05	0.00	-nan	inf	3132.05	2404.46	705.05	32431.62	314.07
49	981.45	633.72	595.23	474.50	0.00	-nan	inf	3050.38	1522.04	597.28	14119.94	282.95
50	979.34	658.98	570.74	422.95	0.00	-nan	inf	2664.72	2240.71	725.00	36454.35	310.05
51	1011.49	659.76	602.63	431.48	0.00	-nan	inf	3056.97	2017.90	636.37	22071.50	299.98
52	995.84	657.48	614.12	392.76	0.00	-nan	inf	3154.34	3916.86	750.48	80020.07	330.42
53	1005.72	667.50	591.95	349.22	0.00	-nan	inf	3402.60	3968.82	757.09	100039.70	325.37
54	1047.12	670.99	608.62	416.59	0.00	-nan	inf	3018.86	4315.05	763.50	42429.53	326.16
55	1040.00	673.38	644.87	412.57	0.00	-nan	inf	3549.39	2429.65	664.91	33578.91	316.73
56	1044.26	676.77	614.60	415.38	0.00	-nan	inf	3241.61	3126.57	746.38	36929.03	327.27
57	1003.78	659.21	622.11	422.03	0.00	-nan	inf	3335.68	1752.47	637.42	23759.89	302.22
58	698.15	371.77	512.31	425.01	0.00	-nan	inf	2591.66	2208.80	692.75	31254.29	97.20
59	802.52	471.43	563.47	371.91	0.00	-nan	inf	3063.41	1769.40	610.21	24100.48	149.17
60	972.19	644.67	551.28	398.14	0.00	-nan	inf	2724.53	2032.56	664.66	28460.63	284.48
61	984.71	644.90	554.63	415.10	0.00	-nan	inf	2808.25	2043.31	665.28	30768.06	294.53
62	961.58	634.92	544.74	413.25	0.00	-nan	inf	2703.90	1500.27	635.99	21346.19	282.65
63	1031.50	670.98	583.69	421.50	0.00	-nan	inf	3269.80	3402.91	731.15	67767.74	316.94
64	1009.82	664.21	597.13	405.82	0.00	-nan	inf	3922.53	1999.09	690.10	21224.15	307.86
65	1012.13	657.74	607.02	385.93	0.00	-nan	inf	4261.49	2129.04	738.53	23625.98	322.38
66	1053.92	693.28	633.40	399.19	0.00	-nan	inf	4400.98	4044.61	815.70	80396.20	347.19
67	1038.39	682.45	617.08	388.35	0.00	-nan	inf	4301.15	4322.72	769.82	65843.24	335.71
68	1033.46	671.41	609.93	401.16	0.00	-nan	inf	4295.81	2814.94	769.58	41712.20	333.34
69	975.59	648.00	607.03	403.37	0.00	-nan	inf	4326.96	1345.86	618.92	11315.40	292.04
70	1016.75	666.12	598.79	409.05	0.00	-nan	inf	4035.97	3764.57	766.59	54309.75	329.41
71	991.68	649.25	587.68	419.19	0.00	-nan	inf	3932.29	1875.53	713.21	19709.33	313.09
72	1041.57	668.09	641.10	414.95	0.00	-nan	inf	4430.50	2146.25	744.87	27054.99	334.45
73	1028.72	674.80	626.64	462.41	0.00	-nan	inf	4398.04	5460.29	808.52	163801.91	346.28
74	1019.02	665.68	607.62	422.96	0.00	-nan	inf	4180.02	2762.35	732.90	34203.66	325.01
75	1011.98	668.86	615.06	373.19	0.00	-nan	inf	4420.61	2431.11	707.44	24158.18	319.76
76	977.69	656.69	584.20	426.21	0.00	-nan	inf	4199.58	2407.18	722.77	25760.42	315.22
77	1010.34	658.60	596.94	394.36	0.00	-nan	inf	4193.54	2164.49	709.93	26677.12	314.74
78	1066.80	691.34	630.34	464.58	0.00	-nan	inf	4333.52	4877.13	846.69	90009.25	354.05
79	994.43	655.03	592.68	388.84	0.00	-nan	inf	4196.26	2318.67	722.53	24879.29	316.21
80	1011.87	664.14	596.06	388.59	0.00	-nan	inf	3890.25	2630.73	722.73	30313.79	319.81
81	1000.28	668.39	584.74	396.01	0.00	-nan	inf	4023.60	1672.59	691.11	18890.37	308.27
82	976.75	657.79	565.29	406.92	0.00	-nan	inf	3872.60	2840.54	740.38	37942.09	312.92
