1	3.928	8.902	13.548	7.028	10.727	4.722	0.000	30.485	6.608	41.162
2	3.712	4.888	8.439	5.059	1.250	0.876	0.000	8.400	0.835	16.821
3	3.981	5.564	9.114	5.750	1.418	0.790	0.000	9.917	0.726	17.183
4	4.514	6.632	10.632	7.315	2.155	1.966	0.000	12.538	1.679	22.931
5	4.541	6.552	10.804	7.099	2.461	1.462	0.000	12.416	1.459	22.568
6	4.978	7.366	11.979	8.855	2.509	1.242	0.000	14.166	1.250	26.381
7	5.495	7.971	12.781	10.021	2.364	2.579	0.000	13.610	1.162	27.174
8	5.384	7.588	12.555	9.255	1.510	0.777	0.000	12.779	0.804	25.461
9	6.071	8.936	14.280	10.882	2.599	1.819	0.000	16.125	1.474	29.787
10	6.692	10.009	15.511	13.602	2.566	1.995	0.000	17.265	1.379	35.173
11	7.066	10.248	16.174	14.062	2.406	2.792	0.000	16.604	1.187	33.288
12	6.531	9.262	15.246	12.084	0.627	0.696	0.000	13.104	0.347	27.014
13	7.182	10.035	16.096	13.627	1.720	1.283	0.000	16.734	0.862	32.863
14	7.444	10.606	16.629	13.951	1.609	1.222	0.000	17.105	0.999	33.731
15	7.289	10.489	16.638	14.740	1.352	1.267	0.000	15.840	0.622	32.473
16	7.603	10.102	16.021	14.182	0.325	0.490	0.000	13.647	0.160	29.104
17	7.691	10.432	16.418	14.122	0.809	1.001	0.000	15.160	0.334	30.634
18	7.936	10.840	17.001	15.869	0.486	0.758	0.000	15.556	0.231	32.884
19	7.353	10.313	16.394	13.678	0.743	0.677	0.000	15.543	0.358	30.950
20	7.803	11.953	18.446	17.197	2.449	2.201	0.000	20.843	1.378	41.337
21	7.939	11.323	17.594	16.695	0.769	0.942	0.000	16.419	0.345	34.240
22	7.848	10.725	17.554	15.295	1.127	0.891	0.000	16.416	0.595	33.601
23	8.027	11.531	17.795	16.198	0.511	0.543	0.000	16.374	0.232	34.486
24	8.120	11.161	17.579	15.481	0.611	0.477	0.000	16.618	0.390	33.983
25	8.379	12.406	19.728	18.621	2.262	2.072	0.000	20.606	1.323	41.936
26	8.639	12.746	19.526	19.040	1.380	1.116	0.000	19.244	0.718	41.588
