1	0.000	0.000	0.086	1.670
2	0.000	1.114	6.248	5.152
3	0.000	1.253	6.693	5.987
4	0.000	2.250	7.500	7.167
5	0.000	1.541	8.119	6.594
6	0.000	1.025	5.708	5.640
7	0.000	1.994	7.181	7.536
8	0.000	1.939	7.642	6.838
9	0.000	1.353	6.166	6.049
10	0.000	0.677	4.730	4.401
11	0.000	1.552	6.441	6.331
12	0.000	1.183	6.108	5.869
13	0.000	1.358	5.671	6.725
14	0.000	1.919	7.301	7.127
15	0.000	1.386	6.463	6.562
16	0.000	1.048	5.895	5.870
17	0.000	2.284	8.106	8.760
18	0.000	1.890	7.354	7.217
19	0.000	1.767	6.949	6.877
20	0.000	2.043	7.539	7.853
21	0.000	2.147	7.991	8.195
22	0.000	1.893	7.538	7.810
23	0.000	0.962	5.754	5.446
24	0.000	2.428	8.183	8.817
25	0.000	1.804	7.186	7.346
26	0.000	1.029	6.019	6.174
27	0.000	1.990	7.460	7.955
28	0.000	2.392	8.201	7.972
29	0.000	2.127	8.527	8.239
30	0.000	1.095	5.681	6.291
31	0.000	2.368	8.418	8.518
32	0.000	2.138	8.359	8.418
33	0.000	1.036	6.292	6.464
34	0.000	2.257	8.443	8.300
35	0.000	2.306	8.240	9.223
36	0.000	2.133	8.642	8.572
37	0.000	1.346	6.762	6.702
38	0.000	1.642	6.921	7.413
39	0.000	2.275	8.495	8.746
40	0.000	1.801	7.871	7.861
41	0.000	1.982	7.540	8.042
42	0.000	2.233	8.645	8.686
43	0.000	1.704	7.662	8.238
44	0.000	1.622	7.017	7.451
45	0.000	2.620	9.298	9.892
46	0.000	3.111	10.823	11.141
47	0.000	1.272	6.689	6.812
48	0.000	1.830	7.819	8.501
49	0.000	2.334	9.007	9.949
50	0.000	2.793	10.271	10.782
51	0.000	2.946	11.400	11.410
52	0.000	1.230	6.656	6.812
53	0.000	2.530	8.368	8.665
54	0.000	2.137	7.847	8.834
55	0.000	3.358	10.856	11.464
56	0.000	1.332	6.596	7.103
57	0.000	2.468	8.910	9.899
58	0.000	3.507	10.339	11.753
59	0.000	2.751	9.713	9.675
60	0.000	2.751	9.761	10.401
61	0.000	1.829	8.097	8.256
62	0.000	2.813	9.382	10.803
63	0.000	2.970	9.607	10.845
64	0.000	2.273	8.761	9.761
65	0.000	2.320	8.411	9.464
66	0.000	1.445	6.327	6.691
67	0.000	2.461	8.427	9.990
68	0.000	3.835	11.121	12.395
69	0.000	1.598	7.444	7.717
70	0.000	2.378	9.346	9.354
71	0.000	2.516	9.744	10.739
72	0.000	2.598	9.450	10.307
73	0.000	2.735	10.060	10.111
74	0.000	1.495	6.476	8.301
75	0.000	3.067	10.448	11.671
76	0.000	2.692	10.262	11.190
77	0.000	3.018	10.945	11.807
78	0.000	2.016	8.859	9.707
79	0.000	2.655	9.451	11.053
80	0.000	2.565	8.668	9.516
81	0.000	2.502	9.671	10.996
82	0.000	3.533	12.088	13.037
83	0.000	0.900	6.047	7.857
84	0.000	0.863	5.451	7.345
85	0.000	0.812	5.408	7.227
86	0.000	0.884	5.603	7.793
87	0.000	0.849	5.689	8.009
88	0.000	0.868	5.620	8.275
89	0.000	0.802	5.145	7.404
90	0.000	0.851	5.477	8.020
91	0.000	0.748	5.218	7.027
92	0.000	0.976	5.807	8.349
93	0.000	0.964	6.279	8.579
94	0.000	0.923	5.855	8.332
95	0.000	0.928	5.789	8.479
96	0.000	0.913	5.156	8.151
97	0.000	0.827	5.778	8.113
98	0.000	0.475	3.810	5.096
99	0.000	0.720	5.243	6.818
100	0.000	0.837	5.651	7.970
101	0.000	0.860	5.725	8.120
102	0.000	0.858	6.425	9.115
103	0.000	1.005	5.131	8.617
104	0.000	0.857	5.331	7.746
105	0.000	0.972	5.371	8.512
106	0.000	0.693	5.485	6.682
107	0.000	0.857	5.303	7.483
108	0.000	0.779	5.094	8.012
109	0.000	0.794	5.384	6.885
110	0.000	1.010	5.668	8.967
111	0.000	1.038	6.171	9.117
112	0.000	0.917	6.192	9.077
113	0.000	0.920	5.822	8.789
114	0.000	0.848	5.415	7.995
115	0.000	0.949	5.408	8.845
116	0.000	0.971	5.697	8.605
117	0.000	1.008	6.133	9.234
118	0.000	0.872	5.478	7.582
119	0.000	1.031	5.252	9.077
120	0.000	0.965	5.943	8.398
121	0.000	1.049	6.048	9.482
122	0.000	0.978	6.013	9.208
123	0.000	0.972	6.551	9.273
124	0.000	0.996	5.724	8.834
125	0.000	1.039	5.519	9.132
126	0.000	0.948	6.145	9.200
