1	674.93	440.79	3515.83	480.81	-nan	-nan	inf	inf	45931.75	182.36	766.58	158.54
2	1081.48	662.81	1304.66	326.25	0.00	-nan	inf	8416.69	755.07	498.85	5223.75	301.53
3	1170.82	724.82	1282.22	324.07	0.00	-nan	inf	5565.89	821.94	582.36	10603.32	341.49
4	1181.76	725.25	1262.60	346.71	0.00	-nan	inf	6328.75	857.37	708.04	10323.93	381.08
5	1204.79	736.37	1309.81	330.47	0.00	-nan	inf	6838.67	848.39	679.31	13238.10	376.83
6	1186.23	694.03	1168.18	328.95	0.00	-nan	inf	4978.24	763.96	546.15	9580.80	321.00
7	1241.44	748.63	1218.24	369.95	0.00	-nan	inf	6061.98	809.23	723.07	12431.53	382.43
8	1164.15	724.34	1049.80	389.96	0.00	-nan	inf	4799.87	778.63	792.96	9712.13	382.30
9	1243.53	738.44	1332.95	372.11	0.00	-nan	inf	6105.04	795.97	707.91	12463.48	393.99
10	1172.45	703.19	1048.11	337.98	0.00	-nan	inf	5309.56	738.58	698.29	10737.42	363.78
11	1197.04	710.86	1115.36	368.54	0.00	-nan	inf	4952.32	753.72	733.38	8449.84	379.05
12	1068.93	670.37	1045.09	344.46	0.00	-nan	inf	4886.37	742.87	569.03	10704.22	320.23
13	1126.10	701.56	1021.74	359.53	0.00	-nan	inf	5543.93	761.53	708.23	10994.33	355.92
14	1128.88	700.95	1028.87	359.66	0.00	-nan	inf	4902.24	752.04	772.65	11002.51	374.42
15	1096.81	698.28	993.16	372.56	0.00	-nan	inf	5035.14	741.67	706.63	11884.86	353.23
16	1099.69	686.12	922.73	350.56	0.00	-nan	inf	4568.33	708.73	705.62	10672.61	344.80
17	1096.58	659.78	908.40	372.40	0.00	-nan	inf	4391.15	716.76	700.83	9848.47	342.67
18	1075.36	688.90	900.14	357.08	0.00	-nan	inf	4090.45	699.24	711.46	10186.89	343.29
19	1096.65	658.44	985.50	322.21	0.00	-nan	inf	5028.64	723.19	678.74	11628.84	346.38
20	1134.96	669.50	857.70	337.94	0.00	-nan	inf	4249.68	682.83	698.34	13188.64	330.62
21	1085.20	662.56	817.70	351.56	0.00	-nan	inf	3990.14	679.02	551.03	12219.94	294.26
22	1109.50	690.96	928.37	318.67	0.00	-nan	inf	4749.83	716.28	734.74	11736.44	360.55
23	1062.71	676.18	785.09	341.76	0.00	-nan	inf	3773.52	691.03	788.84	13812.90	344.29
24	1116.44	693.24	893.88	371.91	0.00	-nan	inf	4464.95	706.67	712.94	10794.41	349.91
25	1110.30	706.29	866.84	364.97	0.00	-nan	inf	4241.67	721.00	760.15	12031.53	357.50
26	1032.20	645.75	781.75	332.08	0.00	-nan	inf	3737.99	678.48	708.40	13789.84	331.82
27	1034.24	657.60	801.92	318.83	0.00	-nan	inf	4221.96	687.20	713.52	12213.43	336.95
28	1056.39	680.36	840.20	341.40	0.00	-nan	inf	4269.00	709.07	740.47	13216.54	340.78
29	1071.97	673.15	769.82	356.35	0.00	-nan	inf	3895.66	689.48	703.62	12915.97	326.29
30	1056.03	659.10	764.20	370.53	0.00	-nan	inf	3822.87	666.94	701.86	11509.65	322.92
