1	0.526	1.949	2.984	0.374	2.736	0.000	0.000	7.213	1.716	8.297
2	0.523	1.223	1.995	1.013	0.741	0.791	0.000	2.651	0.253	4.385
3	0.523	1.135	1.833	1.036	0.403	0.449	0.000	2.282	0.125	3.891
4	0.600	1.130	1.841	1.058	0.384	0.450	0.000	1.886	0.129	3.504
5	0.628	1.114	1.822	1.025	0.402	0.405	0.000	1.976	0.101	3.561
6	0.601	1.137	1.943	1.154	0.392	0.458	0.000	2.469	0.141	4.201
7	0.613	1.092	1.810	1.112	0.343	0.481	0.000	1.874	0.109	3.543
8	0.551	1.170	1.880	1.297	0.335	0.407	0.000	1.717	0.140	3.562
9	0.618	1.100	1.853	1.027	0.353	0.434	0.000	1.933	0.110	3.473
10	0.603	1.173	1.955	1.312	0.379	0.539	0.000	1.969	0.128	3.779
11	0.766	1.154	1.943	1.239	0.363	0.463	0.000	1.884	0.163	3.645
12	0.581	1.299	2.071	1.328	0.387	0.457	0.000	2.439	0.130	4.334
13	0.638	1.238	1.988	1.365	0.364	0.506	0.000	1.969	0.127	3.918
14	0.627	1.241	1.999	1.362	0.374	0.445	0.000	1.813	0.127	3.742
15	0.597	1.284	2.016	1.417	0.357	0.514	0.000	1.992	0.118	3.985
16	0.538	1.286	2.061	1.533	0.377	0.530	0.000	2.004	0.133	4.102
17	0.579	1.296	2.154	1.564	0.368	0.455	0.000	2.028	0.144	4.147
18	0.572	1.327	2.072	1.586	0.371	0.574	0.000	2.006	0.140	4.158
19	0.551	1.308	2.178	1.455	0.404	0.577	0.000	2.113	0.123	4.140
20	0.653	1.269	2.152	1.680	0.367	0.721	0.000	2.063	0.109	4.358
21	0.705	1.334	2.184	1.770	0.354	0.684	0.000	2.626	0.118	4.918
22	0.565	1.310	2.104	1.566	0.396	0.558	0.000	1.979	0.124	4.032
23	0.605	1.374	2.160	1.860	0.363	0.636	0.000	1.851	0.106	4.242
24	0.615	1.314	2.116	1.641	0.332	0.643	0.000	2.058	0.136	4.193
25	0.607	1.327	2.086	1.700	0.330	0.683	0.000	1.939	0.122	4.122
26	0.609	1.434	2.292	1.893	0.330	0.711	0.000	2.089	0.107	4.461
27	0.623	1.438	2.261	1.854	0.399	0.656	0.000	2.084	0.122	4.412
28	0.673	1.414	2.195	1.777	0.385	0.692	0.000	2.017	0.113	4.382
29	0.596	1.399	2.228	1.948	0.322	0.844	0.000	2.132	0.116	4.597
30	0.617	1.427	2.286	1.971	0.341	0.717	0.000	2.146	0.131	4.665
31	0.597	1.453	2.279	1.878	0.379	0.701	0.000	2.146	0.103	4.592
32	0.611	1.432	2.186	1.715	0.364	0.716	0.000	2.118	0.148	4.384
33	0.619	1.563	2.385	2.119	0.402	0.784	0.000	2.177	0.125	4.767
34	0.658	1.483	2.371	2.146	0.375	0.739	0.000	2.189	0.109	4.908
35	0.642	1.437	2.314	1.818	0.342	0.677	0.000	2.126	0.132	4.519
36	0.675	1.491	2.408	2.066	0.396	0.684	0.000	2.309	0.127	4.933
37	0.632	1.590	2.474	2.207	0.401	0.776	0.000	2.270	0.136	5.075
38	0.623	1.442	2.299	2.016	0.366	0.780	0.000	2.162	0.106	4.704
39	0.668	1.511	2.330	1.975	0.338	0.905	0.000	2.051	0.107	4.519
40	0.684	1.598	2.505	2.313	0.425	0.765	0.000	2.331	0.122	5.211
41	0.778	1.554	2.426	2.015	0.379	0.652	0.000	2.234	0.155	4.751
42	0.730	1.619	2.504	2.365	0.375	0.669	0.000	2.318	0.117	5.177
43	0.741	1.583	2.530	2.246	0.409	0.617	0.000	2.305	0.137	5.025
44	0.715	1.682	2.601	2.394	0.360	0.861	0.000	2.342	0.122	5.252
45	0.778	1.602	2.552	2.485	0.393	0.846	0.000	2.376	0.117	5.364
46	0.693	1.709	2.669	2.582	0.390	0.749	0.000	2.484	0.139	5.781
47	0.842	1.637	2.613	2.512	0.369	0.795	0.000	2.326	0.085	5.451
48	0.738	1.734	2.630	2.764	0.353	0.911	0.000	2.101	0.106	5.369
49	0.727	1.722	2.678	2.698	0.359	0.832	0.000	2.463	0.131	5.682
50	0.727	1.507	2.497	2.175	0.413	0.866	0.000	2.300	0.111	4.947
51	0.737	1.729	2.692	2.731	0.393	0.877	0.000	2.392	0.131	5.613
52	0.734	1.877	2.883	3.010	0.411	0.799	0.000	2.464	0.123	6.060
53	0.768	1.718	2.696	2.429	0.409	0.790	0.000	2.600	0.147	5.582
54	0.744	1.842	2.900	3.093	0.352	0.964	0.000	2.383	0.121	6.007
55	0.753	1.794	2.735	2.989	0.351	0.866	0.000	2.347	0.136	5.869
56	0.735	1.889	2.820	3.192	0.394	0.901	0.000	2.475	0.112	6.174
57	0.732	1.821	2.824	3.209	0.367	0.932	0.000	2.404	0.108	6.148
58	0.790	1.856	2.914	3.120	0.377	0.862	0.000	2.450	0.120	6.058
59	0.791	1.960	3.017	3.305	0.440	0.809	0.000	2.747	0.137	6.604
60	0.815	1.898	2.939	3.055	0.424	0.876	0.000	2.601	0.136	6.215
61	0.747	1.752	2.768	2.766	0.374	0.964	0.000	2.511	0.122	5.834
62	0.797	1.996	3.074	3.391	0.420	0.828	0.000	2.617	0.133	6.595
63	0.763	1.879	2.877	3.066	0.389	0.881	0.000	2.545	0.131	6.097
64	0.803	2.009	3.042	3.517	0.389	0.872	0.000	2.598	0.126	6.695
65	0.815	1.860	2.882	2.915	0.379	0.998	0.000	2.589	0.138	6.061
66	0.865	1.881	3.013	3.356	0.372	0.942	0.000	2.519	0.142	6.533
67	0.806	2.059	3.061	3.708	0.366	1.098	0.000	2.570	0.112	6.982
68	0.818	1.997	3.059	3.545	0.397	0.954	0.000	2.531	0.121	6.595
69	0.810	1.952	2.966	3.541	0.357	1.050	0.000	2.476	0.116	6.550
70	0.802	2.126	3.173	3.946	0.456	1.052	0.000	2.623	0.106	7.045
71	0.867	1.993	3.097	3.408	0.356	1.096	0.000	2.557	0.111	6.437
72	0.863	2.125	3.259	3.737	0.404	0.890	0.000	2.811	0.137	7.066
73	0.861	2.073	3.213	3.612	0.382	1.036	0.000	2.686	0.120	6.840
74	0.834	2.229	3.269	4.010	0.367	1.117	0.000	2.783	0.110	7.341
75	0.848	2.009	3.065	3.504	0.335	1.134	0.000	2.543	0.125	6.533
76	1.137	2.144	3.213	3.879	0.411	0.999	0.000	2.700	0.134	7.052
77	0.920	2.099	3.184	3.950	0.375	1.068	0.000	2.727	0.107	7.221
78	1.053	2.124	3.410	4.268	0.372	1.129	0.000	2.708	0.089	7.558
79	0.971	2.292	3.542	4.625	0.400	1.027	0.000	2.897	0.133	8.040
80	0.881	2.272	3.366	4.073	0.426	1.051	0.000	2.923	0.124	7.472
81	0.899	2.278	3.572	4.470	0.379	1.029	0.000	2.871	0.113	7.875
82	0.872	2.144	3.202	3.937	0.365	1.118	0.000	2.732	0.095	7.211
83	0.898	2.188	3.331	4.147	0.431	0.927	0.000	2.866	0.134	7.578
84	0.912	2.261	3.465	4.363	0.541	0.540	0.000	2.863	0.187	7.847
85	0.892	2.296	3.619	4.315	0.476	0.570	0.000	3.195	0.175	7.981
86	0.683	1.563	2.408	0.049	0.000	0.000	0.000	21.373	0.007	21.921
87	0.731	1.532	2.411	0.050	0.000	0.000	0.000	22.370	0.000	22.594
88	0.693	1.558	2.413	0.048	0.000	0.000	0.000	21.412	0.010	21.952
89	0.720	1.562	2.412	0.047	0.000	0.000	0.000	21.977	0.011	22.530
90	0.746	1.549	2.450	0.046	0.000	0.001	0.000	21.875	0.007	22.398
