1	0.000	0.245	2.974	3.160
2	0.000	0.307	1.053	2.734
3	0.000	0.322	1.095	2.704
4	0.000	0.355	1.282	2.675
5	0.000	0.401	1.391	2.922
6	0.000	0.387	1.405	2.765
7	0.000	0.458	1.350	2.953
8	0.000	0.501	1.505	3.144
9	0.000	0.521	1.525	3.250
10	0.000	0.514	1.045	3.147
11	0.000	0.562	1.391	3.332
12	0.000	0.572	1.578	3.330
13	0.000	0.550	1.466	3.042
14	0.000	0.639	1.572	3.411
15	0.000	0.521	1.567	2.704
16	0.000	0.569	1.580	2.934
17	0.000	0.670	1.653	3.453
18	0.000	0.700	1.759	3.518
19	0.000	0.676	1.700	3.224
20	0.000	0.727	1.554	3.571
21	0.000	0.796	2.031	3.576
22	0.000	1.072	2.333	4.433
23	0.000	1.024	1.933	4.173
24	0.000	1.173	2.155	4.578
25	0.000	1.163	1.891	4.497
26	0.000	1.233	1.945	4.667
27	0.000	1.353	2.364	5.016
28	0.000	1.259	2.308	4.684
29	0.000	1.385	2.401	4.879
30	0.000	1.439	2.533	5.222
31	0.000	1.531	2.514	5.521
32	0.000	1.447	2.208	5.145
33	0.000	1.566	2.554	5.309
34	0.000	1.713	2.545	5.891
35	0.000	1.689	2.213	5.821
36	0.000	1.760	2.445	5.881
37	0.000	1.769	2.387	5.811
38	0.000	1.991	2.831	6.539
39	0.000	1.968	2.461	6.373
40	0.000	2.081	2.706	6.667
41	0.000	2.122	2.609	6.843
42	0.000	2.072	2.535	6.542
43	0.000	2.181	2.794	7.055
44	0.000	2.098	2.831	6.632
45	0.000	2.025	2.692	6.528
46	0.000	1.938	2.758	6.102
47	0.000	2.115	2.419	6.698
48	0.000	2.214	2.860	6.902
49	0.000	2.304	2.764	7.215
50	0.000	2.415	2.839	7.539
51	0.000	2.255	2.884	6.999
52	0.000	2.379	2.704	7.393
53	0.000	2.341	2.758	7.204
54	0.000	2.456	2.901	7.575
55	0.000	2.421	2.784	7.518
56	0.000	2.319	2.787	7.193
57	0.000	2.452	2.812	7.536
58	0.000	2.480	2.896	7.647
59	0.000	2.634	3.161	7.978
60	0.000	2.513	2.907	7.685
61	0.000	2.526	2.979	7.767
62	0.000	2.502	2.819	7.562
63	0.000	2.718	3.007	8.189
64	0.000	2.730	3.066	8.336
65	0.000	2.632	3.110	8.012
66	0.000	2.418	3.001	7.295
67	0.000	2.743	2.962	8.369
68	0.000	2.673	2.933	8.090
69	0.000	2.775	3.025	8.376
70	0.000	2.748	3.118	8.274
71	0.000	2.769	3.108	8.336
72	0.000	2.660	3.104	7.895
73	0.000	2.836	3.182	8.462
74	0.000	2.830	3.317	8.495
75	0.000	2.696	3.112	8.102
76	0.000	2.835	2.997	8.496
77	0.000	2.664	3.088	8.088
78	0.000	2.704	3.151	8.095
79	0.000	2.862	3.109	8.540
80	0.000	2.999	3.210	8.817
81	0.000	2.951	3.222	8.788
82	0.000	2.897	3.157	8.669
83	0.000	2.975	3.263	8.871
84	0.000	3.011	3.198	8.817
85	0.000	3.085	3.155	9.034
86	0.000	2.974	3.032	8.878
87	0.000	3.096	3.258	9.241
88	0.000	3.042	3.297	8.865
89	0.000	3.124	3.407	9.192
90	0.000	3.021	3.217	8.926
91	0.000	3.160	3.246	9.260
92	0.000	2.958	3.039	8.776
93	0.000	2.972	3.117	8.754
94	0.000	2.995	3.121	8.850
95	0.000	3.124	3.367	9.241
96	0.000	2.991	3.381	8.906
97	0.000	2.957	3.302	8.651
98	0.000	3.248	3.332	9.459
99	0.000	3.103	3.249	9.098
100	0.000	3.240	3.339	9.529
101	0.000	3.316	3.293	9.573
102	0.000	3.315	3.574	9.662
103	0.000	3.165	3.547	9.326
104	0.000	3.318	3.431	9.591
105	0.000	3.339	3.620	9.615
106	0.000	3.150	3.303	9.272
107	0.000	3.316	3.483	9.629
108	0.000	3.336	3.435	9.599
109	0.000	3.373	3.445	9.803
110	0.000	3.276	3.524	9.602
111	0.000	3.357	3.534	9.815
112	0.000	3.370	3.452	9.757
113	0.000	3.371	3.387	9.833
114	0.000	3.351	3.611	9.891
115	0.000	3.415	3.542	9.934
116	0.000	3.470	3.554	10.028
117	0.000	3.436	3.586	10.106
118	0.000	3.490	3.598	10.089
119	0.000	3.485	3.552	10.051
120	0.000	3.406	3.495	9.946
