1	812.23	516.83	881.54	439.42	0.00	-nan	inf	11372.00	936.51	261.79	4644.05	141.29
2	1213.07	732.84	1026.38	389.58	0.00	-nan	inf	9132.83	2663.65	569.81	37355.80	323.39
3	1184.93	737.04	1035.87	402.07	0.00	-nan	inf	8706.30	2558.41	633.76	42251.07	342.21
4	1160.35	728.55	1062.01	385.12	0.00	-nan	inf	7991.80	2215.69	586.53	55095.97	321.34
5	1181.53	723.69	979.10	342.64	0.00	-nan	inf	7138.37	2055.95	581.02	46898.12	322.76
6	1142.30	741.81	1035.34	369.13	0.00	-nan	inf	7401.92	2037.83	607.11	62765.47	332.52
7	1173.76	727.95	963.06	385.36	0.00	-nan	inf	6206.36	2106.13	613.82	38564.23	317.74
8	1131.22	698.15	889.63	388.48	0.00	-nan	inf	5581.84	1857.73	561.15	39253.98	308.56
9	1089.74	698.17	848.30	336.23	0.00	-nan	inf	5296.18	1807.70	553.48	48196.92	295.65
10	1137.78	698.50	867.47	359.56	0.00	-nan	inf	5314.60	2611.74	597.32	50328.38	311.05
11	1074.28	693.26	816.39	383.62	0.00	-nan	inf	4835.47	1955.88	601.38	52314.00	300.87
12	1102.19	703.98	820.96	402.53	0.00	-nan	inf	4781.99	1732.34	614.89	47125.23	303.07
13	1128.62	715.04	901.47	347.24	0.00	-nan	inf	4984.82	1870.92	648.97	52731.07	320.32
14	1090.91	686.27	801.19	394.90	0.00	-nan	inf	4274.92	1738.24	592.26	51981.49	300.77
15	1238.57	744.96	1010.31	329.06	0.00	-nan	inf	5240.62	1743.62	626.22	48583.09	328.13
16	1211.41	751.64	933.37	375.70	0.00	-nan	inf	4813.39	1733.65	644.68	48874.83	327.47
17	1099.92	690.99	794.36	349.18	0.00	-nan	inf	4094.14	1658.86	632.48	46101.49	305.92
18	1096.01	683.12	783.70	372.65	0.00	-nan	inf	3937.35	1567.01	581.49	43952.86	297.49
19	1115.21	704.07	844.04	348.77	0.00	-nan	inf	4022.95	1600.69	594.26	46196.59	307.06
20	1011.33	671.00	752.61	367.27	0.00	-nan	inf	3698.81	1729.21	598.20	47253.89	291.67
21	1083.31	663.49	764.67	351.41	0.00	-nan	inf	3436.52	1346.00	534.12	34319.06	274.05
22	991.11	634.68	619.85	430.12	0.00	-nan	inf	2563.31	1177.76	542.37	40114.24	258.15
23	979.11	637.26	661.43	414.19	0.00	-nan	inf	2695.89	1427.54	565.56	41624.89	273.13
