1	0.236	0.643	0.982	0.117	0.936	0.000	0.000	2.228	0.715	3.212
2	0.242	0.406	0.785	0.520	0.609	0.937	0.000	1.203	0.018	2.528
3	0.278	0.388	0.786	0.340	0.568	0.929	0.000	1.135	0.017	2.429
4	0.259	0.429	0.766	0.447	0.598	0.952	0.000	1.045	0.040	2.482
5	0.243	0.419	0.777	0.584	0.652	0.977	0.000	1.218	0.018	2.698
6	0.248	0.446	0.775	0.597	0.664	0.991	0.000	1.329	0.019	2.681
7	0.253	0.395	0.787	0.444	0.590	0.940	0.000	1.355	0.012	2.587
8	0.245	0.418	0.752	0.478	0.505	0.908	0.000	1.287	0.007	2.526
9	0.252	0.436	0.763	0.600	0.665	0.973	0.000	1.353	0.008	2.670
10	0.243	0.428	0.758	0.570	0.606	0.934	0.000	1.116	0.018	2.584
11	0.223	0.502	0.883	0.669	0.681	1.289	0.000	1.603	0.080	3.107
12	0.229	0.497	0.817	0.781	0.681	1.172	0.000	1.192	0.015	2.859
13	0.212	0.479	0.824	0.752	0.673	1.200	0.000	1.263	0.038	2.911
14	0.201	0.444	0.807	0.566	0.658	1.098	0.000	1.282	0.036	2.686
15	0.214	0.509	0.859	0.875	0.720	1.197	0.000	1.205	0.033	2.967
16	0.250	0.499	0.805	0.776	0.685	1.190	0.000	1.115	0.008	2.885
17	0.250	0.522	0.859	0.779	0.433	1.261	0.000	1.311	0.017	2.926
18	0.247	0.486	0.820	0.703	0.655	1.186	0.000	1.206	0.011	2.823
19	0.246	0.510	0.864	0.861	0.713	1.287	0.000	1.256	0.017	3.011
20	0.229	0.521	0.873	0.857	0.686	1.202	0.000	1.220	0.020	2.903
21	0.219	0.535	0.870	0.892	0.678	1.242	0.000	1.346	0.018	3.006
22	0.223	0.522	0.884	0.836	0.455	1.288	0.000	1.357	0.012	2.999
23	0.228	0.459	0.785	0.529	0.634	1.118	0.000	1.240	0.033	2.671
24	0.230	0.532	0.897	0.949	0.711	1.283	0.000	1.390	0.019	3.123
25	0.223	0.523	0.895	0.699	0.494	1.176	0.000	1.431	0.015	2.927
26	0.217	0.525	0.838	0.735	0.613	1.159	0.000	1.242	0.019	2.839
27	0.216	0.538	0.874	0.888	0.645	1.243	0.000	1.405	0.016	3.075
28	0.216	0.510	0.806	0.809	0.670	1.199	0.000	1.332	0.020	2.997
29	0.245	0.468	0.830	0.711	0.486	1.184	0.000	1.242	0.043	2.861
30	0.264	0.528	0.905	0.932	0.685	1.243	0.000	1.295	0.019	2.969
31	0.279	0.484	0.858	0.912	0.712	1.193	0.000	1.409	0.019	3.077
32	0.226	0.543	0.890	1.036	0.658	1.218	0.000	1.324	0.027	3.072
33	0.223	0.546	0.889	1.127	0.691	1.222	0.000	1.308	0.019	3.102
34	0.242	0.518	0.924	1.152	0.720	1.400	0.000	1.473	0.029	3.313
35	0.271	0.538	0.974	0.769	0.463	1.442	0.000	1.399	0.034	3.203
36	0.228	0.540	0.934	1.084	0.499	1.367	0.000	1.537	0.026	3.419
37	0.229	0.535	0.913	1.118	0.710	1.250	0.000	1.312	0.016	3.118
38	0.280	0.602	0.978	1.229	0.742	1.322	0.000	1.398	0.019	3.330
39	0.239	0.616	0.957	1.253	0.706	1.337	0.000	1.350	0.020	3.457
40	0.220	0.630	0.962	1.158	0.628	1.288	0.000	1.404	0.019	3.227
41	0.216	0.623	1.005	1.192	0.691	1.319	0.000	1.397	0.009	3.342
42	0.230	0.544	0.864	1.056	0.582	1.288	0.000	1.228	0.026	3.112
43	0.221	0.603	0.946	1.182	0.749	1.305	0.000	1.527	0.008	3.321
44	0.220	0.563	0.932	1.168	0.665	1.270	0.000	1.324	0.041	3.169
45	0.214	0.513	0.945	1.123	0.725	1.299	0.000	1.494	0.037	3.268
46	0.216	0.594	0.965	1.415	0.735	1.318	0.000	1.332	0.040	3.337
47	0.216	0.601	0.995	1.303	0.474	1.379	0.000	1.453	0.044	3.395
48	0.219	0.659	1.007	1.382	0.470	1.402	0.000	1.416	0.018	3.391
49	0.219	0.622	0.968	1.444	0.772	1.401	0.000	1.341	0.019	3.416
50	0.218	0.594	0.949	1.463	0.619	1.433	0.000	1.229	0.019	3.395
51	0.226	0.620	1.041	1.350	0.724	1.425	0.000	1.346	0.018	3.481
52	0.217	0.649	1.068	1.528	0.696	1.428	0.000	1.391	0.032	3.607
53	0.230	0.622	0.998	1.420	0.727	1.431	0.000	1.364	0.037	3.434
54	0.215	0.651	0.991	1.463	0.481	1.454	0.000	1.454	0.016	3.543
55	0.219	0.653	1.011	1.526	0.743	1.455	0.000	1.431	0.018	3.639
56	0.217	0.648	0.987	1.504	0.753	1.451	0.000	1.405	0.025	3.555
57	0.221	0.570	1.063	1.657	0.708	1.543	0.000	1.494	0.034	3.839
58	0.222	0.581	1.020	1.605	0.732	1.540	0.000	1.387	0.019	3.721
59	0.219	0.663	1.044	1.652	0.753	1.461	0.000	1.426	0.012	3.702
60	0.219	0.646	0.953	1.612	0.790	1.460	0.000	1.444	0.041	3.631
61	0.248	0.624	1.040	1.490	0.729	1.426	0.000	1.387	0.017	3.494
62	0.247	0.591	0.948	1.492	0.783	1.438	0.000	1.545	0.019	3.626
63	0.243	0.659	1.071	1.498	0.602	1.405	0.000	1.266	0.017	3.492
64	0.242	0.646	1.082	0.963	0.723	1.717	0.000	2.072	0.090	3.845
65	0.254	0.611	0.995	1.201	0.642	1.419	0.000	1.255	0.019	3.379
66	0.245	0.575	0.982	1.250	0.804	1.437	0.000	1.404	0.018	3.481
67	0.245	0.600	0.932	1.196	0.727	1.431	0.000	1.392	0.017	3.372
68	0.236	0.644	1.001	1.199	0.644	1.451	0.000	1.424	0.018	3.437
69	0.236	0.603	0.993	1.144	0.621	1.548	0.000	1.284	0.013	3.576
70	0.251	0.559	0.985	1.020	0.575	1.497	0.000	1.455	0.028	3.346
71	0.254	0.640	1.012	1.162	0.522	1.396	0.000	1.343	0.011	3.278
72	0.251	0.650	1.035	1.393	0.784	1.449	0.000	1.369	0.015	3.560
73	0.253	0.681	1.120	1.382	0.799	1.906	0.000	2.043	0.089	4.192
74	0.251	0.687	1.038	1.370	0.765	1.606	0.000	1.458	0.024	3.611
75	0.235	0.674	1.068	1.332	0.737	1.557	0.000	1.348	0.028	3.646
76	0.312	0.600	0.974	1.031	0.536	1.505	0.000	1.588	0.043	3.329
77	0.361	0.631	0.950	1.227	0.758	1.516	0.000	1.244	0.018	3.479
78	0.367	0.655	1.081	1.478	0.757	1.619	0.000	1.504	0.042	3.642
79	0.390	0.691	1.141	1.640	0.769	1.657	0.000	1.535	0.025	3.783
80	0.242	0.709	1.223	1.481	1.038	1.913	0.000	2.050	0.076	4.257
81	0.243	0.721	1.130	1.569	0.783	1.721	0.000	1.554	0.026	3.883
82	0.272	0.471	0.999	1.155	0.766	1.568	0.000	1.487	0.025	3.453
83	0.268	0.724	1.148	1.585	0.769	1.848	0.000	1.593	0.025	4.001
84	0.266	0.720	1.129	1.647	0.778	1.779	0.000	1.614	0.030	3.913
85	0.246	0.726	1.139	1.631	0.671	1.703	0.000	1.568	0.050	3.871
86	0.232	0.713	1.190	1.658	0.642	1.730	0.000	1.658	0.013	4.020
87	0.236	0.729	1.227	1.850	0.824	1.893	0.000	1.656	0.026	4.190
88	0.254	0.640	1.119	1.620	0.807	1.682	0.000	1.583	0.025	3.837
89	0.237	0.770	1.249	2.085	0.782	1.887	0.000	1.543	0.043	4.376
90	0.244	0.464	1.042	1.536	0.777	1.624	0.000	1.333	0.031	3.737
91	0.255	0.708	1.159	1.942	0.728	1.853	0.000	1.725	0.018	4.227
92	0.228	0.665	1.177	2.142	0.787	1.867	0.000	1.621	0.033	4.251
93	0.235	0.745	1.146	2.012	0.803	1.807	0.000	1.419	0.014	4.332
94	0.230	0.811	1.178	2.144	0.803	1.835	0.000	1.625	0.025	4.305
95	0.223	0.748	1.094	2.117	0.825	1.782	0.000	1.395	0.009	4.327
96	0.230	0.690	1.140	2.265	0.790	1.923	0.000	1.246	0.012	4.425
97	0.233	0.841	1.132	2.194	0.828	1.832	0.000	1.804	0.026	4.488
98	0.236	0.805	1.028	2.093	0.763	1.855	0.000	1.645	0.024	4.351
99	0.230	0.672	1.190	2.109	0.819	1.808	0.000	1.728	0.021	4.366
100	0.241	0.797	1.171	2.239	0.795	1.897	0.000	1.417	0.012	4.501
101	0.241	0.579	1.132	2.050	0.788	1.812	0.000	1.643	0.030	4.264
102	0.229	0.759	1.297	2.300	0.812	1.856	0.000	1.360	0.043	4.493
