1	0.000	0.000	0.012	0.117
2	0.000	0.092	0.624	0.520
3	0.000	0.078	0.579	0.340
4	0.000	0.091	0.554	0.447
5	0.000	0.124	0.688	0.584
6	0.000	0.117	0.636	0.597
7	0.000	0.101	0.552	0.444
8	0.000	0.127	0.614	0.478
9	0.000	0.150	0.689	0.600
10	0.000	0.155	0.663	0.570
11	0.000	0.167	0.803	0.669
12	0.000	0.201	0.774	0.781
13	0.000	0.211	0.705	0.752
14	0.000	0.160	0.726	0.566
15	0.000	0.249	0.839	0.875
16	0.000	0.209	0.784	0.776
17	0.000	0.221	0.799	0.779
18	0.000	0.211	0.722	0.703
19	0.000	0.247	0.877	0.861
20	0.000	0.265	0.837	0.857
21	0.000	0.260	0.881	0.892
22	0.000	0.251	0.837	0.836
23	0.000	0.158	0.660	0.529
24	0.000	0.292	0.904	0.949
25	0.000	0.222	0.806	0.699
26	0.000	0.249	0.788	0.735
27	0.000	0.264	0.896	0.888
28	0.000	0.242	0.900	0.809
29	0.000	0.241	0.778	0.711
30	0.000	0.333	0.892	0.932
31	0.000	0.320	0.908	0.912
32	0.000	0.362	0.913	1.036
33	0.000	0.382	0.943	1.127
34	0.000	0.397	0.971	1.152
35	0.000	0.252	0.915	0.769
36	0.000	0.375	0.941	1.084
37	0.000	0.420	1.015	1.118
38	0.000	0.451	1.040	1.229
39	0.000	0.443	1.023	1.253
40	0.000	0.430	1.018	1.158
41	0.000	0.433	1.039	1.192
42	0.000	0.379	0.989	1.056
43	0.000	0.444	0.975	1.182
44	0.000	0.437	0.977	1.168
45	0.000	0.438	0.995	1.123
46	0.000	0.546	1.061	1.415
47	0.000	0.520	1.072	1.303
48	0.000	0.550	1.115	1.382
49	0.000	0.573	1.087	1.444
50	0.000	0.568	1.053	1.463
51	0.000	0.528	1.160	1.350
52	0.000	0.603	1.146	1.528
53	0.000	0.593	1.139	1.420
54	0.000	0.583	1.174	1.463
55	0.000	0.639	1.172	1.526
56	0.000	0.604	1.187	1.504
57	0.000	0.651	1.225	1.657
58	0.000	0.636	1.184	1.605
59	0.000	0.683	1.205	1.652
60	0.000	0.683	1.203	1.612
61	0.000	0.616	1.143	1.490
62	0.000	0.639	1.092	1.492
63	0.000	0.661	1.186	1.498
64	0.000	0.310	1.133	0.963
65	0.000	0.441	1.029	1.201
66	0.000	0.461	1.106	1.250
67	0.000	0.440	1.083	1.196
68	0.000	0.454	1.080	1.199
69	0.000	0.418	1.088	1.144
70	0.000	0.367	1.057	1.020
71	0.000	0.446	1.092	1.162
72	0.000	0.534	1.142	1.393
73	0.000	0.499	1.438	1.382
74	0.000	0.526	1.213	1.370
75	0.000	0.508	1.243	1.332
76	0.000	0.382	1.083	1.031
77	0.000	0.475	1.186	1.227
78	0.000	0.576	1.187	1.478
79	0.000	0.674	1.322	1.640
80	0.000	0.560	1.506	1.481
81	0.000	0.638	1.347	1.569
82	0.000	0.443	1.191	1.155
83	0.000	0.602	1.360	1.585
84	0.000	0.685	1.384	1.647
85	0.000	0.642	1.327	1.631
86	0.000	0.694	1.362	1.658
87	0.000	0.731	1.472	1.850
88	0.000	0.683	1.332	1.620
89	0.000	0.893	1.730	2.085
90	0.000	0.619	1.340	1.536
91	0.000	0.798	1.462	1.942
92	0.000	0.928	1.529	2.142
93	0.000	0.868	1.493	2.012
94	0.000	0.910	1.571	2.144
95	0.000	0.929	1.522	2.117
96	0.000	0.947	1.588	2.265
97	0.000	0.926	1.529	2.194
98	0.000	0.873	1.556	2.093
99	0.000	0.907	1.499	2.109
100	0.000	0.969	1.575	2.239
101	0.000	0.882	1.521	2.050
102	0.000	0.993	1.588	2.300
103	0.000	1.055	1.581	2.403
104	0.000	1.103	1.657	2.501
105	0.000	1.100	1.765	2.494
106	0.000	1.053	1.587	2.400
107	0.000	1.090	1.623	2.454
108	0.000	1.148	1.703	2.611
109	0.000	1.175	1.706	2.622
110	0.000	1.103	1.622	2.505
111	0.000	1.155	1.718	2.678
112	0.000	1.076	1.613	2.386
113	0.000	1.168	1.770	2.618
114	0.000	1.203	1.718	2.767
115	0.000	1.294	1.836	2.886
116	0.000	1.266	1.691	2.790
117	0.000	1.284	1.779	2.825
118	0.000	1.391	1.918	3.027
119	0.000	1.392	1.898	3.020
120	0.000	1.315	1.853	2.893
121	0.000	1.273	1.781	2.844
122	0.000	1.297	1.805	2.860
123	0.000	1.362	1.766	2.958
124	0.000	1.377	1.859	3.024
125	0.000	1.414	1.914	3.085
126	0.000	1.436	1.867	3.204
127	0.000	1.439	2.012	3.145
128	0.000	1.399	1.734	3.035
129	0.000	1.525	1.998	3.283
130	0.000	1.438	1.971	3.122
131	0.000	1.361	1.913	3.075
132	0.000	1.563	1.990	3.415
133	0.000	1.427	1.878	3.178
134	0.000	1.518	1.870	3.353
