1	4.489	4.223	6.421	2.005	5.258	0.413	0.000	14.536	3.353	17.624
2	1.466	2.369	3.544	0.070	0.796	0.726	0.000	22.767	0.700	23.460
3	1.601	2.246	3.413	0.140	0.008	0.001	0.000	19.627	0.006	20.869
4	4.487	2.690	4.157	2.415	2.701	5.042	0.000	6.680	0.180	11.047
5	1.545	2.241	3.383	0.130	0.034	0.010	0.000	20.061	0.033	21.246
6	4.490	2.691	4.168	2.587	2.619	5.153	0.000	6.630	0.129	11.381
7	4.461	2.749	4.295	2.669	2.595	5.123	0.000	6.740	0.180	11.359
8	4.509	2.700	4.334	2.648	2.651	5.068	0.000	6.707	0.121	11.282
9	4.496	2.733	4.203	2.711	2.664	5.112	0.000	6.573	0.113	11.409
10	4.506	3.058	4.583	3.118	3.001	5.981	0.000	7.489	0.251	12.839
11	4.504	2.721	4.201	2.882	2.688	5.158	0.000	6.543	0.111	11.404
12	4.491	2.758	4.289	2.828	2.543	5.250	0.000	6.713	0.112	11.647
13	4.478	2.874	4.441	3.067	2.668	5.267	0.000	6.845	0.172	11.703
14	4.498	2.896	4.374	3.019	2.749	5.896	0.000	7.171	0.147	12.522
15	4.494	2.842	4.371	3.103	2.757	5.367	0.000	6.985	0.174	11.836
16	4.483	2.777	4.300	3.005	2.641	5.418	0.000	7.065	0.133	12.003
17	4.475	2.830	4.381	3.255	2.741	5.506	0.000	6.628	0.103	11.982
18	4.472	2.959	4.377	3.392	2.788	5.508	0.000	6.924	0.106	12.393
19	4.492	2.904	4.459	3.157	2.818	5.604	0.000	7.129	0.157	12.510
20	4.482	2.946	4.473	3.284	2.838	5.698	0.000	6.971	0.142	12.319
21	4.492	3.034	4.479	3.485	2.863	5.562	0.000	7.227	0.135	12.607
22	4.502	2.899	4.428	3.381	2.753	5.639	0.000	6.751	0.107	12.283
23	4.489	2.945	4.430	3.484	2.778	5.734	0.000	7.068	0.130	12.377
24	4.475	2.892	4.458	3.483	2.725	5.773	0.000	6.845	0.100	12.424
25	4.482	2.866	4.345	3.351	2.815	5.574	0.000	6.931	0.113	12.173
26	4.482	2.998	4.617	3.556	2.795	5.780	0.000	7.408	0.211	12.941
27	4.473	2.869	4.374	3.273	2.844	5.969	0.000	6.975	0.120	12.607
28	4.496	2.995	4.490	3.518	2.804	5.875	0.000	7.022	0.111	12.595
29	4.477	3.082	4.569	3.877	2.858	6.021	0.000	6.887	0.114	12.920
