1	0.000	0.026	3.355	2.005
2	0.000	0.002	0.155	0.070
3	0.000	0.010	0.005	0.140
4	0.000	0.266	3.099	2.415
5	0.000	0.011	0.007	0.130
6	0.000	0.338	3.483	2.587
7	0.000	0.293	3.290	2.669
8	0.000	0.350	3.152	2.648
9	0.000	0.375	3.014	2.711
10	0.000	0.439	4.237	3.118
11	0.000	0.445	3.085	2.882
12	0.000	0.451	3.264	2.828
13	0.000	0.475	3.523	3.067
14	0.000	0.495	3.561	3.019
15	0.000	0.505	3.535	3.103
16	0.000	0.491	3.290	3.005
17	0.000	0.563	3.314	3.255
18	0.000	0.628	3.395	3.392
19	0.000	0.556	3.651	3.157
20	0.000	0.593	3.523	3.284
21	0.000	0.641	3.686	3.485
22	0.000	0.642	3.557	3.381
23	0.000	0.666	3.531	3.484
24	0.000	0.685	3.500	3.483
25	0.000	0.682	3.580	3.351
26	0.000	0.709	4.149	3.556
27	0.000	0.657	3.682	3.273
28	0.000	0.714	3.682	3.518
29	0.000	0.833	3.830	3.877
30	0.000	0.816	3.801	3.820
31	0.000	0.814	3.749	3.725
32	0.000	0.843	3.785	3.847
33	0.000	0.918	3.952	4.141
34	0.000	0.890	4.023	3.946
35	0.000	0.966	4.453	4.383
36	0.000	0.966	4.105	4.261
37	0.000	1.110	4.711	4.570
38	0.000	1.016	4.190	4.361
39	0.000	1.024	4.238	4.361
40	0.000	1.011	4.254	4.203
41	0.000	1.116	4.525	4.585
42	0.000	1.156	4.326	4.693
43	0.000	1.109	4.207	4.396
44	0.000	1.189	4.427	4.663
45	0.000	1.178	4.464	4.513
46	0.000	1.256	4.551	4.798
47	0.000	1.335	4.606	5.113
48	0.000	1.327	4.419	4.961
49	0.000	1.294	4.582	4.835
50	0.000	1.379	4.656	5.139
51	0.000	1.330	4.409	4.957
52	0.000	1.440	4.518	5.103
53	0.000	1.316	4.482	4.857
54	0.000	1.510	4.720	5.427
55	0.000	1.672	4.952	5.793
56	0.000	1.691	5.072	5.798
57	0.000	1.626	4.655	5.482
58	0.000	1.704	4.812	5.783
59	0.000	1.650	4.679	5.524
60	0.000	1.586	4.883	5.443
61	0.000	1.735	4.901	5.937
62	0.000	1.693	4.760	5.644
63	0.000	1.724	4.982	5.730
64	0.000	1.960	5.206	6.448
65	0.000	1.809	5.196	5.908
66	0.000	1.933	5.256	6.290
67	0.000	1.834	4.981	5.903
68	0.000	1.940	5.208	6.225
69	0.000	1.950	5.225	6.212
70	0.000	2.130	5.409	6.676
71	0.000	2.237	5.166	6.818
72	0.000	2.146	5.306	6.711
73	0.000	2.264	5.404	6.840
74	0.000	2.244	5.547	6.870
75	0.000	2.163	5.527	6.787
76	0.000	2.125	5.230	6.600
77	0.000	2.392	5.575	7.245
78	0.000	2.532	5.742	7.570
79	0.000	2.550	5.702	7.668
80	0.000	2.396	5.695	7.195
81	0.000	2.500	6.271	7.501
82	0.000	2.703	6.047	8.182
83	0.000	2.414	5.499	7.293
84	0.000	2.687	5.928	7.976
85	0.000	2.778	5.996	8.172
86	0.000	2.810	6.017	8.267
87	0.000	2.751	6.004	8.009
88	0.000	2.872	6.365	8.304
89	0.000	2.861	6.030	8.382
90	0.000	3.041	6.174	8.764
91	0.000	2.842	6.159	8.179
92	0.000	3.229	6.400	9.212
93	0.000	3.131	6.261	8.952
94	0.000	3.118	6.337	8.951
95	0.000	3.327	7.002	9.674
96	0.000	3.397	6.433	9.666
97	0.000	3.364	6.567	9.446
98	0.000	3.297	6.459	9.311
99	0.000	3.376	6.421	9.520
100	0.000	3.448	6.406	9.686
